Nível;Cód.;Município;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
MU;1501451;Belterra (PA);2700;2700;2700;2400;2700;2700;2700;2700;2700;2700;2700;3000;3000;3000;3000;3000;3000;3000;3200;3500
MU;1501501;Benevides (PA);...;...;...;...;-;...;...;...;-;-;...;...;...;...;-;-;-;-;-;-
MU;1501576;Bom Jesus do Tocantins (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501600;Bonito (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501709;Bragança (PA);-;-;-;-;2347;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501725;Brasil Novo (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501758;Brejo Grande do Araguaia (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3180;3180;3180;3180
MU;1501782;Breu Branco (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501808;Breves (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501907;Bujaru (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501956;Cachoeira do Piriá (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502004;Cachoeira do Arari (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502103;Cametá (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502152;Canaã dos Carajás (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502202;Capanema (PA);-;-;2400;2400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502301;Capitão Poço (PA);2700;3600;2400;2800;2400;2400;2400;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502400;Castanhal (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502509;Chaves (PA);-;...;...;...;-;...;...;...;-;-;-;...;...;-;-;-;-;-;-;-
MU;1502608;Colares (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502707;Conceição do Araguaia (PA);2611;3000;3000;3000;3000;3000;-;3000;3300;3300;3300;3300;3000;3000;3000;2000;2800;3000;2408;2100
MU;1502756;Concórdia do Pará (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502764;Cumaru do Norte (PA);-;-;-;-;-;-;-;-;-;2250;3000;3000;3000;3000;2700;2000;3600;3000;2100;2556
MU;1502772;Curionópolis (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502806;Curralinho (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502855;Curuá (PA);3000;3000;3000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502905;Curuçá (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502939;Dom Eliseu (PA);3300;3300;3300;3300;3300;2880;3000;2950;3000;3300;750;3000;3300;3300;3300;3000;3100;3150;3180;3142
MU;1502954;Eldorado do Carajás (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503002;Faro (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503044;Floresta do Araguaia (PA);2000;2000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;2000;2600;2800;3000;1892;2100
MU;1503077;Garrafão do Norte (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503093;Goianésia do Pará (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;1500;-;-;-;-;-
MU;1503101;Gurupá (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503200;Igarapé-Açu (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503309;Igarapé-Miri (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503408;Inhangapi (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503457;Ipixuna do Pará (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;3300;3600;3000;3100;3200;3180;3160
MU;1503507;Irituia (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503606;Itaituba (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503705;Itupiranga (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503754;Jacareacanga (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503804;Jacundá (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503903;Juruti (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1504000;Limoeiro do Ajuru (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1504059;Mãe do Rio (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1504109;Magalhães Barata (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1504208;Marabá (PA);-;1400;-;2000;-;-;-;-;-;-;2700;2700;-;3100;3100;3100;3100;1895;3101;3101
MU;1504307;Maracanã (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1504406;Marapanim (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1504422;Marituba (PA);...;...;...;-;...;...;...;...;...;...;...;...;...;...;-;...;...;...;...;...
MU;1504455;Medicilândia (PA);-;-;-;3000;-;-;-;-;-;-;-;-;3600;-;-;-;-;-;-;-
