Município;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Pa-Sao Geraldo do Araguaia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Joao da Ponta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Joao de Pirabas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Joao do Araguaia;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0
Pa-Sao Miguel do Guama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Sebastiao da Boa Vista;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Sapucaia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Senador Jose Porfirio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Soure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Tailandia;9;7;5;4;2;3;1;1;1;0;0;0;0;0;0;0
Pa-Terra Alta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Terra Santa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Tome-Acu;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1
Pa-Tracuateua;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
Pa-Trairao;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
Pa-Tucuma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Tucurui;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Pa-Ulianopolis;24;16;15;11;8;7;12;8;6;5;2;1;2;2;1;1
Pa-Uruara;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
Pa-Vigia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Viseu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Vitoria do Xingu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Xinguara;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Ignorado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ap-Serra do Navio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ap-Amapa;3;3;3;3;2;1;2;1;0;0;0;0;0;0;0;0
Ap-Pedra Branca do Amapari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ap-Calcoene;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
Ap-Cutias;2;4;4;2;2;2;1;0;0;0;0;0;0;0;0;0
