Município;2005;2004;2003
Ma-Sao Felix de Balsas;0;0;0
Ma-Sao Francisco do Brejao;58;27;10
Ma-Sao Francisco do Maranhao;0;0;0
Ma-Sao Joao Batista;0;0;0
Ma-Sao Joao do Caru;2;2;1
Ma-Sao Joao do Paraiso;20;17;13
Ma-Sao Joao do Soter;1;0;0
Ma-Sao Joao dos Patos;1;0;0
Ma-Sao Jose de Ribamar;0;0;0
Ma-Sao Jose dos Basilios;0;0;0
Ma-Sao Luis;90;57;51
Ma-Sao Luis Gonzaga do Maranhao;11;10;6
Ma-Sao Mateus do Maranhao;0;0;0
Ma-Sao Pedro da Agua Branca;9;13;13
Ma-Sao Pedro dos Crentes;3;1;0
Ma-Sao Raimundo das Mangabeiras;0;0;0
Ma-Sao Raimundo do Doca Bezerra;0;0;0
Ma-Sao Roberto;0;0;0
Ma-Sao Vicente Ferrer;0;0;0
Ma-Satubinha;1;0;0
Ma-Senador Alexandre Costa;0;0;0
Ma-Senador La Rocque;28;20;63
Ma-Serrano do Maranhao;0;0;0
Ma-Sitio Novo;3;0;0
Ma-Sucupira do Norte;0;0;0
Ma-Sucupira do Riachao;0;0;0
Ma-Tasso Fragoso;2;0;0
Ma-Timbiras;0;0;0
Ma-Timon;9;9;8
Ma-Trizidela do Vale;6;3;4
Ma-Tufilandia;0;0;0
Ma-Tuntum;50;36;44
Ma-Turiacu;0;0;0
Ma-Turilandia;5;2;3
Ma-Tutoia;0;0;0
Ma-Urbano Santos;0;0;0
Ma-Vargem Grande;3;0;0
Ma-Viana;0;0;2
Ma-Vila Nova dos Martirios;52;21;15
Ma-Vitoria do Mearim;6;7;4
Ma-Vitorino Freire;45;28;42
Ma-Ze Doca;15;30;21
Ma-Ignorado;0;0;0
Pi-Acaua;0;0;0
Pi-Agricolandia;0;0;0
Pi-Agua Branca;0;0;0
Pi-Alagoinha do Piaui;0;0;0
Pi-Alegrete do Piaui;0;0;0
Pi-Alto Longa;0;0;0
Pi-Altos;4;5;4
Pi-Alvorada do Gurgueia;0;0;0
Pi-Amarante;0;0;0
Pi-Angical do Piaui;1;0;2
Pi-Anisio de Abreu;0;0;0
Pi-Antonio Almeida;0;0;0
Pi-Aroazes;2;0;2
Pi-Aroeiras do Itaim;0;0;0
Pi-Arraial;0;0;0
Pi-Assuncao do Piaui;0;0;0
Pi-Avelino Lopes;0;0;0
Pi-Baixa Grande do Ribeiro;0;0;0
Pi-Barra D Alcantara;0;0;0
Pi-Barras;11;9;3
Pi-Barreiras do Piaui;0;3;2
Pi-Barro Duro;0;0;0
Pi-Batalha;0;0;0
Pi-Bela Vista do Piaui;0;0;0
Pi-Belem do Piaui;0;0;0
Pi-Beneditinos;0;3;2
Pi-Bertolinia;0;0;0
Pi-Betania do Piaui;0;0;0
Pi-Boa Hora;0;0;0
Pi-Bocaina;0;0;0
Pi-Bom Jesus;0;0;0
Pi-Bom Principio do Piaui;0;0;0
Pi-Bonfim do Piaui;0;0;0
Pi-Boqueirao do Piaui;0;0;0
Pi-Brasileira;0;0;0
Pi-Brejo do Piaui;0;0;0
Pi-Buriti dos Lopes;11;11;10
Pi-Buriti dos Montes;0;0;0
Pi-Cabeceiras do Piaui;0;0;0
Pi-Cajazeiras do Piaui;0;0;0
Pi-Cajueiro da Praia;0;0;0
Pi-Caldeirao Grande do Piaui;0;0;0
Pi-Campinas do Piaui;0;0;0
Pi-Campo Alegre do Fidalgo;0;0;0
Pi-Campo Grande do Piaui;0;0;0
Pi-Campo Largo do Piaui;0;0;0
Pi-Campo Maior;4;12;3
Pi-Canavieira;0;0;0
Pi-Canto do Buriti;0;0;0
Pi-Capitao de Campos;0;0;0
Pi-Capitao Gervasio Oliveira;0;0;0
Pi-Caracol;0;0;0
Pi-Caraubas do Piaui;0;0;0
Pi-Caridade do Piaui;0;0;0
Pi-Castelo do Piaui;0;0;0
Pi-Caxingo;0;0;0
Pi-Cocal;0;0;0
Pi-Cocal de Telha;0;0;0
Pi-Cocal dos Alves;0;0;0
Pi-Coivaras;0;0;0
Pi-Colonia do Gurgueia;0;0;0
Pi-Colonia do Piaui;0;0;0
Pi-Conceicao do Caninde;0;0;0
Pi-Coronel Jose Dias;0;0;0
Pi-Corrente;14;10;6
Pi-Cristalandia do Piaui;3;1;0
