Município;2021;2020;2019;2018;2017
Ma-Olinda Nova do Maranhao;0;0;0;0;0
Ma-Paco do Lumiar;0;0;0;0;0
Ma-Palmeirandia;1;1;1;1;1
Ma-Paraibano;2;3;4;3;3
Ma-Parnarama;12;13;12;10;12
Ma-Passagem Franca;4;3;2;3;2
Ma-Pastos Bons;0;0;0;0;0
Ma-Paulino Neves;0;0;0;0;0
Ma-Paulo Ramos;6;6;4;7;6
Ma-Pedreiras;8;8;9;9;10
Ma-Pedro do Rosario;3;3;4;4;4
Ma-Penalva;0;0;0;1;1
Ma-Peri Mirim;0;0;0;0;0
Ma-Peritoro;11;10;7;8;9
Ma-Pindare-Mirim;5;6;6;5;5
Ma-Pinheiro;2;3;4;4;3
Ma-Pio Xii;2;2;1;1;0
Ma-Pirapemas;0;0;1;1;1
Ma-Pocao de Pedras;2;2;2;3;3
Ma-Porto Franco;45;44;47;47;43
Ma-Porto Rico do Maranhao;0;0;0;0;0
Ma-Presidente Dutra;9;6;9;8;7
Ma-Presidente Juscelino;0;0;0;0;0
Ma-Presidente Medici;1;1;1;1;1
Ma-Presidente Sarney;0;0;0;0;0
Ma-Presidente Vargas;1;1;2;1;1
Ma-Primeira Cruz;0;0;0;0;0
Ma-Raposa;1;1;1;1;0
Ma-Riachao;8;13;11;11;12
Ma-Ribamar Fiquene;23;24;26;20;17
Ma-Rosario;1;0;0;0;0
Ma-Sambaiba;2;2;1;1;1
Ma-Santa Filomena do Maranhao;2;2;2;2;2
Ma-Santa Helena;1;0;0;1;1
Ma-Santa Ines;21;20;17;27;27
Ma-Santa Luzia;35;35;36;42;41
Ma-Santa Luzia do Parua;0;1;1;1;2
Ma-Santa Quiteria do Maranhao;0;0;0;0;0
Ma-Santa Rita;4;3;2;3;2
Ma-Santana do Maranhao;0;0;0;0;0
Ma-Santo Amaro do Maranhao;0;0;0;0;0
Ma-Santo Antonio dos Lopes;2;3;2;3;1
Ma-Sao Benedito do Rio Preto;0;0;0;0;0
Ma-Sao Bento;0;0;0;0;0
Ma-Sao Bernardo;1;1;1;1;2
Ma-Sao Domingos do Azeitao;0;0;0;1;1
Ma-Sao Domingos do Maranhao;4;3;2;2;3
Ma-Sao Felix de Balsas;0;0;0;1;1
Ma-Sao Francisco do Brejao;35;40;37;38;40
Ma-Sao Francisco do Maranhao;1;0;1;1;0
Ma-Sao Joao Batista;0;0;0;0;0
Ma-Sao Joao do Caru;1;0;2;1;2
Ma-Sao Joao do Paraiso;13;11;12;13;10
Ma-Sao Joao do Soter;4;1;3;3;2
Ma-Sao Joao dos Patos;5;4;5;5;4
