Município;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Pa-Ignorado;0;0;0;0;0;0;0;0;0;0;0
Ap-Serra do Navio;0;0;0;0;0;0;0;0;0;0;0
Ap-Amapa;0;0;0;0;0;0;0;0;0;0;0
Ap-Pedra Branca do Amapari;0;0;0;0;0;0;0;0;0;0;0
Ap-Calcoene;0;0;0;0;0;0;0;0;0;0;0
Ap-Cutias;0;0;0;0;0;0;0;0;0;0;0
Ap-Ferreira Gomes;0;0;0;0;0;0;0;0;0;0;0
Ap-Itaubal;0;0;0;0;1;0;0;0;0;0;0
Ap-Laranjal do Jari;0;0;0;0;0;0;0;0;0;0;0
Ap-Macapa;5;5;6;4;1;2;1;4;0;0;0
Ap-Mazagao;0;0;0;0;0;0;0;0;0;0;0
Ap-Oiapoque;0;0;0;0;0;0;0;0;0;0;0
Ap-Porto Grande;2;1;1;1;0;0;0;0;0;0;0
Ap-Pracuuba;0;0;0;0;0;0;0;0;0;0;0
Ap-Santana;29;47;51;45;51;54;12;13;15;18;18
Ap-Tartarugalzinho;5;5;0;0;0;0;0;0;0;0;0
Ap-Vitoria do Jari;0;0;0;0;0;0;0;0;0;0;0
Ap-Ignorado;0;0;0;0;0;0;0;0;0;0;0
To-Abreulandia;0;0;0;0;0;0;0;0;0;0;0
To-Aguiarnopolis;747;889;687;51;42;43;45;247;395;251;0
To-Alianca do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Almas;0;0;0;0;0;0;0;0;0;0;0
To-Alvorada;463;444;461;584;458;422;682;343;256;166;0
To-Ananas;0;0;0;0;0;0;0;0;0;0;0
To-Angico;0;0;0;0;0;0;0;0;0;0;0
To-Aparecida do Rio Negro;0;0;0;0;0;0;0;0;0;0;0
To-Aragominas;0;0;0;0;0;0;0;0;0;0;0
To-Araguacema;0;0;0;0;0;0;0;0;0;0;0
To-Araguacu;0;0;0;0;0;0;0;0;0;0;0
To-Araguaina;1760;1692;1579;1557;1454;1465;1307;1027;1213;1149;948
To-Araguana;0;0;0;0;0;0;0;0;0;0;0
To-Araguatins;12;12;10;12;12;11;6;4;9;0;0
To-Arapoema;0;0;0;0;0;0;0;0;0;0;0
To-Arraias;0;0;0;0;0;0;0;0;0;0;0
To-Augustinopolis;6;6;5;0;4;0;0;0;0;0;0
To-Aurora do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Axixa do Tocantins;0;0;0;0;1;5;3;16;13;0;0
To-Babaculandia;0;0;0;0;0;0;0;0;0;0;0
To-Bandeirantes do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Barra do Ouro;0;0;0;0;0;0;0;0;0;0;0
To-Barrolandia;0;2;2;0;0;0;0;0;0;0;0
To-Bernardo Sayao;0;0;0;0;0;0;0;0;0;0;0
To-Bom Jesus do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Brasilandia do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Brejinho de Nazare;2;2;1;1;2;1;0;0;0;0;0
To-Buriti do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Cachoeirinha;0;0;0;0;0;0;0;0;0;0;0
To-Campos Lindos;0;0;0;0;0;0;0;0;0;0;0
To-Cariri do Tocantins;0;0;0;0;0;0;2;2;2;40;0
To-Carmolandia;0;0;0;0;0;0;0;0;0;0;0
To-Carrasco Bonito;0;0;0;0;0;0;0;0;0;0;0
To-Caseara;0;0;0;0;0;0;0;0;0;0;0
To-Centenario;0;0;0;0;0;0;0;0;0;0;0
To-Chapada de Areia;0;0;0;0;0;0;0;0;0;0;0
To-Chapada da Natividade;0;0;0;0;0;0;0;0;0;0;0
To-Colinas do Tocantins;13;14;14;4;4;4;0;0;86;369;313
To-Combinado;0;0;0;0;0;0;0;0;0;0;0
To-Conceicao do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Couto Magalhaes;0;0;0;0;0;0;0;0;0;0;0
To-Cristalandia;2;1;1;2;1;2;8;5;1;4;3
To-Crixas do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Darcinopolis;0;0;0;0;0;0;0;0;0;0;0
To-Dianopolis;0;6;7;3;7;4;8;9;6;2;0
To-Divinopolis do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Dois Irmaos do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Duere;0;0;0;0;0;0;0;0;0;0;0
To-Esperantina;0;0;0;0;0;0;0;0;0;0;0
To-Fatima;2;2;2;2;3;2;3;2;3;1;0
To-Figueiropolis;0;0;0;0;0;0;0;0;0;0;0
To-Filadelfia;0;0;0;0;0;0;0;0;0;0;0
To-Formoso do Araguaia;0;0;0;0;1;1;0;1;0;0;0
To-Fortaleza do Tabocao;0;0;0;0;0;0;0;0;0;0;0
To-Goianorte;0;0;0;0;0;0;0;0;0;0;0
To-Goiatins;0;0;0;0;0;0;0;0;0;0;0
To-Guarai;5;4;2;0;0;0;0;0;0;0;0
To-Gurupi;515;563;635;601;594;466;358;399;431;422;402
To-Ipueiras;0;0;0;0;0;0;0;0;0;0;0
