Município;2021;2020;2019;2018;2017
Ma-Governador Archer;0;0;0;0;0
Ma-Governador Edison Lobao;0;0;0;0;0
Ma-Governador Eugenio Barros;0;0;0;0;0
Ma-Governador Luiz Rocha;0;0;0;0;0
Ma-Governador Newton Bello;0;0;0;0;0
Ma-Governador Nunes Freire;1;1;1;2;3
Ma-Graca Aranha;0;0;0;0;0
Ma-Grajau;0;0;1;0;0
Ma-Guimaraes;0;0;0;0;0
Ma-Humberto de Campos;0;0;0;0;0
Ma-Icatu;0;0;0;0;0
Ma-Igarape do Meio;423;410;417;412;433
Ma-Igarape Grande;0;0;0;0;0
Ma-Imperatriz;626;568;564;529;539
Ma-Itaipava do Grajau;0;0;0;0;0
Ma-Itapecuru Mirim;0;0;0;0;0
Ma-Itinga do Maranhao;6;6;5;5;2
Ma-Jatoba;0;0;0;0;0
Ma-Jenipapo dos Vieiras;0;0;0;0;0
Ma-Joao Lisboa;8;9;0;7;7
Ma-Joselandia;0;0;0;0;0
Ma-Junco do Maranhao;0;0;0;0;0
Ma-Lago da Pedra;0;0;0;0;0
Ma-Lago do Junco;0;0;0;0;0
Ma-Lago Verde;0;0;0;0;0
Ma-Lagoa do Mato;0;0;0;0;0
Ma-Lago dos Rodrigues;0;0;0;0;0
Ma-Lagoa Grande do Maranhao;0;0;0;0;0
Ma-Lajeado Novo;0;0;0;0;0
Ma-Lima Campos;0;0;0;0;0
Ma-Loreto;0;0;0;0;0
Ma-Luis Domingues;0;0;0;0;0
Ma-Magalhaes de Almeida;0;0;0;0;0
Ma-Maracacume;0;0;0;0;0
Ma-Maraja do Sena;0;0;0;0;0
Ma-Maranhaozinho;0;0;0;0;0
Ma-Mata Roma;0;0;0;0;0
Ma-Matinha;0;0;0;0;0
Ma-Matoes;0;0;0;0;0
Ma-Matoes do Norte;0;0;0;0;0
Ma-Milagres do Maranhao;0;0;0;0;0
Ma-Mirador;0;0;0;0;0
Ma-Miranda do Norte;0;0;0;0;0
Ma-Mirinzal;0;0;0;0;0
Ma-Moncao;0;0;0;0;0
Ma-Montes Altos;0;0;0;0;0
Ma-Morros;0;0;0;0;0
Ma-Nina Rodrigues;0;0;0;0;0
Ma-Nova Colinas;0;0;0;0;0
Ma-Nova Iorque;0;0;0;0;0
Ma-Nova Olinda do Maranhao;0;0;0;0;0
Ma-Olho D Agua das Cunhas;0;0;0;0;0
Ma-Olinda Nova do Maranhao;0;0;0;0;0
Ma-Paco do Lumiar;35;37;48;54;51
Ma-Palmeirandia;0;0;0;0;0
Ma-Paraibano;0;0;0;0;0
Ma-Parnarama;0;0;0;0;0
Ma-Passagem Franca;0;0;0;0;0
Ma-Pastos Bons;0;0;0;0;0
Ma-Paulino Neves;0;0;0;0;0
