Município;2021;2020;2019;2018;2017
Ma-Centro Novo do Maranhao;0;0;0;0;0
Ma-Chapadinha;1;1;1;1;1
Ma-Cidelandia;1;1;1;1;1
Ma-Codo;0;0;0;1;1
Ma-Coelho Neto;0;1;1;1;0
Ma-Colinas;0;0;0;0;0
Ma-Conceicao do Lago-Acu;0;0;0;0;0
Ma-Coroata;0;0;0;0;0
Ma-Cururupu;0;0;0;0;0
Ma-Davinopolis;0;0;0;0;0
Ma-Dom Pedro;0;0;0;0;0
Ma-Duque Bacelar;0;0;0;0;0
Ma-Esperantinopolis;0;0;0;0;0
Ma-Estreito;0;1;0;1;1
Ma-Feira Nova do Maranhao;0;0;0;0;0
Ma-Fernando Falcao;0;0;0;0;0
Ma-Formosa da Serra Negra;0;0;0;0;0
Ma-Fortaleza dos Nogueiras;1;0;0;0;0
Ma-Fortuna;0;0;0;0;0
Ma-Godofredo Viana;0;0;0;0;0
Ma-Goncalves Dias;0;0;0;0;0
Ma-Governador Archer;0;0;0;0;0
Ma-Governador Edison Lobao;0;0;0;0;0
Ma-Governador Eugenio Barros;0;0;0;0;0
Ma-Governador Luiz Rocha;0;0;0;0;0
Ma-Governador Newton Bello;0;0;0;0;0
Ma-Governador Nunes Freire;1;1;1;1;1
Ma-Graca Aranha;0;0;0;0;0
Ma-Grajau;0;0;1;0;0
Ma-Guimaraes;0;0;0;0;0
Ma-Humberto de Campos;0;0;0;0;0
Ma-Icatu;0;0;0;0;0
Ma-Igarape do Meio;2;2;1;1;1
Ma-Igarape Grande;0;0;0;0;0
Ma-Imperatriz;4;4;4;4;3
Ma-Itaipava do Grajau;0;0;0;0;0
Ma-Itapecuru Mirim;0;0;0;0;0
Ma-Itinga do Maranhao;1;1;1;1;1
Ma-Jatoba;0;0;0;0;0
Ma-Jenipapo dos Vieiras;0;0;0;0;0
Ma-Joao Lisboa;1;1;1;2;2
Ma-Joselandia;0;0;0;0;0
Ma-Junco do Maranhao;0;0;0;0;0
Ma-Lago da Pedra;0;0;0;0;0
Ma-Lago do Junco;0;0;0;0;0
Ma-Lago Verde;0;0;0;0;0
Ma-Lagoa do Mato;0;0;0;0;0
Ma-Lago dos Rodrigues;0;0;0;0;0
Ma-Lagoa Grande do Maranhao;0;0;0;0;0
Ma-Lajeado Novo;0;0;0;0;0
Ma-Lima Campos;0;0;0;0;0
Ma-Loreto;0;0;0;0;0
Ma-Luis Domingues;0;0;0;0;0
Ma-Magalhaes de Almeida;0;0;0;0;0
Ma-Maracacume;0;0;0;0;0
Ma-Maraja do Sena;0;0;0;0;0
Ma-Maranhaozinho;0;0;0;0;0
Ma-Mata Roma;0;0;0;0;0
Ma-Matinha;0;0;0;0;0
Ma-Matoes;0;0;0;0;0
Ma-Matoes do Norte;0;0;0;0;0
Ma-Milagres do Maranhao;0;0;0;0;0
Ma-Mirador;0;0;0;0;0
Ma-Miranda do Norte;0;0;0;0;0
Ma-Mirinzal;0;0;0;0;0
Ma-Moncao;0;0;0;0;0
Ma-Montes Altos;0;0;0;0;0
Ma-Morros;0;0;0;0;0
Ma-Nina Rodrigues;0;0;0;0;0
Ma-Nova Colinas;0;0;0;0;0
Ma-Nova Iorque;0;0;0;0;0
Ma-Nova Olinda do Maranhao;0;0;0;0;0
Ma-Olho D Agua das Cunhas;0;0;0;0;0
Ma-Olinda Nova do Maranhao;0;0;0;0;0
Ma-Paco do Lumiar;1;1;1;1;1
Ma-Palmeirandia;0;0;0;0;0
Ma-Paraibano;0;0;0;0;0
Ma-Parnarama;0;0;0;0;0
Ma-Passagem Franca;0;0;0;0;0
Ma-Pastos Bons;0;0;0;0;0
Ma-Paulino Neves;0;0;0;0;0
Ma-Paulo Ramos;0;0;0;0;0
Ma-Pedreiras;2;3;3;2;0
Ma-Pedro do Rosario;0;0;0;0;0
Ma-Penalva;0;0;0;0;0
Ma-Peri Mirim;0;0;0;0;0
Ma-Peritoro;0;0;0;0;0
Ma-Pindare-Mirim;0;0;0;0;0
Ma-Pinheiro;0;0;0;0;0
Ma-Pio Xii;0;0;0;0;0
Ma-Pirapemas;0;0;0;0;0
Ma-Pocao de Pedras;0;0;0;0;0
Ma-Porto Franco;0;1;1;0;1
Ma-Porto Rico do Maranhao;0;0;0;0;0
Ma-Presidente Dutra;1;1;1;1;0
Ma-Presidente Juscelino;0;0;0;0;0
